Keyword,Cluster,,Keyword,Cluster,,Keyword,Cluster,,Keyword,Cluster,,Keyword,Cluster
火星,4,,,,,,,,,,,,
父親,4,,,,,,,,,,,,
牙買,1,,,,,,,,,,,,
牙齒,1,,,,,,,,,,,,
牛津,1,,,,,,,,,,,,
且中,1,,,,,,,,,,,,
丘基卡,1,,,,,,,,,,,,
主張,1,,,,,,,,,,,,
主從關係,1,,,,,,,,,,,,
主導,3,,,,,,,,,,,,
主題,3,,,,,,,,,,,,
付款,1,,,,,,,,,,,,
付費,1,,,,,,,,,,,,
代表團,3,,,,,,,,,,,,
令人擔心,1,,,,,,,,,,,,
令人興奮,3,,,,,,,,,,,,
充分,3,,,,,,,,,,,,
充沛,1,,,,,,,,,,,,
充電,3,,,,,,,,,,,,
充電站,1,,,,,,,,,,,,
充滿,3,,,,,,,,,,,,
出口,3,,,,,,,,,,,,
出什,1,,,,,,,,,,,,
出台,1,,,,,,,,,,,,
出生,3,,,,,,,,,,,,
出任,3,,,,,,,,,,,,
出名,1,,,,,,,,,,,,
出身,1,,,,,,,,,,,,
出要,1,,,,,,,,,,,,
出席,3,,,,,,,,,,,,
出售,3,,,,,,,,,,,,
出得偵,1,,,,,,,,,,,,
出資,1,,,,,,,,,,,,
半小時,3,,,,,,,,,,,,
半旭,1,,,,,,,,,,,,
半此,1,,,,,,,,,,,,
卡門,1,,,,,,,,,,,,
去式,3,,,,,,,,,,,,
去戌底,1,,,,,,,,,,,,
去旭,1,,,,,,,,,,,,
去池,1,,,,,,,,,,,,
去嗎,1,,,,,,,,,,,,
可戌洶,1,,,,,,,,,,,,
可怕,1,,,,,,,,,,,,
可追溯,1,,,,,,,,,,,,
可悲,1,,,,,,,,,,,,
可愛,3,,,,,,,,,,,,
召須議,1,,,,,,,,,,,,
司機,4,,,,,,,,,,,,
另丰,3,,,,,,,,,,,,
另尹,1,,,,,,,,,,,,
另內,1,,,,,,,,,,,,
另奶位,1,,,,,,,,,,,,
另奶條,1,,,,,,,,,,,,
另奶項,1,,,,,,,,,,,,
另尼,1,,,,,,,,,,,,
另巨,1,,,,,,,,,,,,
另平,1,,,,,,,,,,,,
另弁,1,,,,,,,,,,,,
史上,3,,,,,,,,,,,,
史蒂芬,1,,,,,,,,,,,,
失眠,1,,,,,,,,,,,,
失敗,3,,,,,,,,,,,,
失楔,1,,,,,,,,,,,,
失楫漲,1,,,,,,,,,,,,
失落,1,,,,,,,,,,,,
奴役,1,,,,,,,,,,,,
孕角,1,,,,,,,,,,,,
它云,3,,,,,,,,,,,,
尼克森,1,,,,,,,,,,,,
尼亞,1,,,,,,,,,,,,
尼桑,1,,,,,,,,,,,,
巨型,3,,,,,,,,,,,,
巨頭,3,,,,,,,,,,,,
巨擘,1,,,,,,,,,,,,
巨額,1,,,,,,,,,,,,
巧妙,1,,,,,,,,,,,,
左漸,1,,,,,,,,,,,,
左澈,1,,,,,,,,,,,,
左漁,1,,,,,,,,,,,,
左滌,1,,,,,,,,,,,,
左熊,1,,,,,,,,,,,,
市場份額,3,,,,,,,,,,,,
布宜諾斯艾利斯,1,,,,,,,,,,,,
布林,3,,,,,,,,,,,,
布蘭森,1,,,,,,,,,,,,
平方,1,,,,,,,,,,,,
平平,1,,,,,,,,,,,,
平悸,1,,,,,,,,,,,,
平等,3,,,,,,,,,,,,
平價,3,,,,,,,,,,,,
平整,1,,,,,,,,,,,,
弗農,1,,,,,,,,,,,,
必不可少,1,,,,,,,,,,,,
打掃衛生,1,,,,,,,,,,,,
打階,1,,,,,,,,,,,,
打碎,1,,,,,,,,,,,,
打電話,3,,,,,,,,,,,,
打撈,1,,,,,,,,,,,,
本周,1,,,,,,,,,,,,
未知,1,,,,,,,,,,,,
未能,1,,,,,,,,,,,,
正大,1,,,,,,,,,,,,
正弗,1,,,,,,,,,,,,
正好,3,,,,,,,,,,,,
正如,3,,,,,,,,,,,,
正考,3,,,,,,,,,,,,
正沿,1,,,,,,,,,,,,
正處,1,,,,,,,,,,,,
正視,1,,,,,,,,,,,,
正像,1,,,,,,,,,,,,
民主,1,,,,,,,,,,,,
民生,1,,,,,,,,,,,,
民眾,4,,,,,,,,,,,,
永予,1,,,,,,,,,,,,
永遠,4,,,,,,,,,,,,
瓦尼,1,,,,,,,,,,,,
瓦拉,1,,,,,,,,,,,,
生化武器,1,,,,,,,,,,,,
生存,1,,,,,,,,,,,,
生命,1,,,,,,,,,,,,
生於,3,,,,,,,,,,,,
生物,1,,,,,,,,,,,,
生物學,1,,,,,,,,,,,,
生物學家,1,,,,,,,,,,,,
生活狀況,1,,,,,,,,,,,,
生涯,3,,,,,,,,,,,,
生產商,1,,,,,,,,,,,,
生產量,3,,,,,,,,,,,,
生意,3,,,,,,,,,,,,
生態,1,,,,,,,,,,,,
生態系統,1,,,,,,,,,,,,
用來,3,,,,,,,,,,,,
由幼,1,,,,,,,,,,,,
由此,3,,,,,,,,,,,,
甲殼動物,1,,,,,,,,,,,,
甲殼類,1,,,,,,,,,,,,
申請,1,,,,,,,,,,,,
白魚,1,,,,,,,,,,,,
石塊,1,,,,,,,,,,,,
立法,4,,,,,,,,,,,,
立法機構,1,,,,,,,,,,,,
丟棄,3,,,,,,,,,,,,
交付,3,,,,,,,,,,,,
交流,1,,,,,,,,,,,,
交通,4,,,,,,,,,,,,
伙伴,1,,,,,,,,,,,,
伊莎貝拉,1,,,,,,,,,,,,
伍德,3,,,,,,,,,,,,
休斯,1,,,,,,,,,,,,
休學,1,,,,,,,,,,,,
任何人,3,,,,,,,,,,,,
任命,1,,,,,,,,,,,,
份題,1,,,,,,,,,,,,
企椰,1,,,,,,,,,,,,
企楫瑣,1,,,,,,,,,,,,
企毽,1,,,,,,,,,,,,
企滓,1,,,,,,,,,,,,
先驅,3,,,,,,,,,,,,
先權,1,,,,,,,,,,,,
全人類,1,,,,,,,,,,,,
全力,3,,,,,,,,,,,,
全布,4,,,,,,,,,,,,
全身,1,,,,,,,,,,,,
全面,3,,,,,,,,,,,,
全部,3,,,,,,,,,,,,
全新,4,,,,,,,,,,,,
再中,3,,,,,,,,,,,,
再奶,3,,,,,,,,,,,,
再度,3,,,,,,,,,,,,
列可戌洶,1,,,,,,,,,,,,
印度,1,,,,,,,,,,,,
印度洋,1,,,,,,,,,,,,
危險,1,,,,,,,,,,,,
危險性,1,,,,,,,,,,,,
同事,3,,,,,,,,,,,,
同感,1,,,,,,,,,,,,
同類,3,,,,,,,,,,,,
吊乾,1,,,,,,,,,,,,
各自,3,,,,,,,,,,,,
各國,1,,,,,,,,,,,,
各報,1,,,,,,,,,,,,
名布,1,,,,,,,,,,,,
名字,3,,,,,,,,,,,,
名專,1,,,,,,,,,,,,
名義,1,,,,,,,,,,,,
名稱,3,,,,,,,,,,,,
合成,1,,,,,,,,,,,,
合宏,1,,,,,,,,,,,,
合法,3,,,,,,,,,,,,
合國,1,,,,,,,,,,,,
合國孕,1,,,,,,,,,,,,
吃勿,3,,,,,,,,,,,,
地下,4,,,,,,,,,,,,
地去,1,,,,,,,,,,,,
地皮,1,,,,,,,,,,,,
地戌,1,,,,,,,,,,,,
地位,3,,,,,,,,,,,,
地步,1,,,,,,,,,,,,
地表,3,,,,,,,,,,,,
地面,1,,,,,,,,,,,,
地區,1,,,,,,,,,,,,
地球,1,,,,,,,,,,,,
地球表面,1,,,,,,,,,,,,
地球科學,1,,,,,,,,,,,,
地圖,3,,,,,,,,,,,,
地質學家,1,,,,,,,,,,,,
地點,3,,,,,,,,,,,,
多人,3,,,,,,,,,,,,
多大,1,,,,,,,,,,,,
多丑,3,,,,,,,,,,,,
多少,1,,,,,,,,,,,,
多宗,1,,,,,,,,,,,,
多於,1,,,,,,,,,,,,
多長時間,1,,,,,,,,,,,,
多麼,1,,,,,,,,,,,,
好比,1,,,,,,,,,,,,
好事,1,,,,,,,,,,,,
好處,3,,,,,,,,,,,,
好萊塢,3,,,,,,,,,,,,
好過,1,,,,,,,,,,,,
好像,1,,,,,,,,,,,,
她轉,1,,,,,,,,,,,,
如同,3,,,,,,,,,,,,
字眼,3,,,,,,,,,,,,
宇宙,3,,,,,,,,,,,,
宇航,3,,,,,,,,,,,,
宇航員,4,,,,,,,,,,,,
守黨,1,,,,,,,,,,,,
安危,1,,,,,,,,,,,,
安眠藥,3,,,,,,,,,,,,
安排,3,,,,,,,,,,,,
安逸,1,,,,,,,,,,,,
安置,1,,,,,,,,,,,,
安裝,4,,,,,,,,,,,,
戎摩,1,,,,,,,,,,,,
戌洶,4,,,,,,,,,,,,
戌陪,3,,,,,,,,,,,,
戌麂,1,,,,,,,,,,,,
成分,1,,,,,,,,,,,,
成央返,1,,,,,,,,,,,,
成失,1,,,,,,,,,,,,
成奶,3,,,,,,,,,,,,
成它,3,,,,,,,,,,,,
成尼,3,,,,,,,,,,,,
成尼髡,1,,,,,,,,,,,,
成市,3,,,,,,,,,,,,
成弗,3,,,,,,,,,,,,
成必,1,,,,,,,,,,,,
成成,1,,,,,,,,,,,,
成果,3,,,,,,,,,,,,
成績,3,,,,,,,,,,,,
扣雪野,1,,,,,,,,,,,,
扛漸,1,,,,,,,,,,,,
扛漁,3,,,,,,,,,,,,
扛滲,3,,,,,,,,,,,,
收入,3,,,,,,,,,,,,
收到,4,,,,,,,,,,,,
收鬥,3,,,,,,,,,,,,
收乾琤,1,,,,,,,,,,,,
收兜,3,,,,,,,,,,,,
收凰,1,,,,,,,,,,,,
收集,1,,,,,,,,,,,,
早已,3,,,,,,,,,,,,
早前,1,,,,,,,,,,,,
早期,3,,,,,,,,,,,,
朽羲,1,,,,,,,,,,,,
朴炕,3,,,,,,,,,,,,
朴牧滌,1,,,,,,,,,,,,
朴玟,1,,,,,,,,,,,,
此布,1,,,,,,,,,,,,
此行,3,,,,,,,,,,,,
此類,1,,,,,,,,,,,,
死仇,1,,,,,,,,,,,,
池部,3,,,,,,,,,,,,
池頂,3,,,,,,,,,,,,
污染,1,,,,,,,,,,,,
灰塵,1,,,,,,,,,,,,
百分點,3,,,,,,,,,,,,
竹子,1,,,,,,,,,,,,
老舊,1,,,,,,,,,,,,
考察,1,,,,,,,,,,,,
考察隊,1,,,,,,,,,,,,
考摹,3,,,,,,,,,,,,
耳骨,1,,,,,,,,,,,,
自戎,3,,,,,,,,,,,,
自圻,1,,,,,,,,,,,,
自身,3,,,,,,,,,,,,
自知,1,,,,,,,,,,,,
自信,3,,,,,,,,,,,,
自重,1,,,,,,,,,,,,
自動化,3,,,,,,,,,,,,
自然,3,,,,,,,,,,,,
自然資源,1,,,,,,,,,,,,
自駕車,3,,,,,,,,,,,,
自戀狂,1,,,,,,,,,,,,
至於,3,,,,,,,,,,,,
色情,1,,,,,,,,,,,,
艾梅柏,1,,,,,,,,,,,,
行列,3,,,,,,,,,,,,
行政,1,,,,,,,,,,,,
行筋陘,1,,,,,,,,,,,,
行楚,1,,,,,,,,,,,,
行楫疑,1,,,,,,,,,,,,
行毓,1,,,,,,,,,,,,
西方,1,,,,,,,,,,,,
西戊,1,,,,,,,,,,,,
西米葉,1,,,,,,,,,,,,
西洋,3,,,,,,,,,,,,
西部,3,,,,,,,,,,,,
位於,4,,,,,,,,,,,,
位置,3,,,,,,,,,,,,
伴隨,1,,,,,,,,,,,,
佛羅里達,1,,,,,,,,,,,,
何處,1,,,,,,,,,,,,
佔股,1,,,,,,,,,,,,
佔優勢,1,,,,,,,,,,,,
伯格,3,,,,,,,,,,,,
低效,1,,,,,,,,,,,,
低碳,1,,,,,,,,,,,,
低調,1,,,,,,,,,,,,
克服,1,,,,,,,,,,,,
免受,1,,,,,,,,,,,,
冷凍,1,,,,,,,,,,,,
冷戰,3,,,,,,,,,,,,
別提,3,,,,,,,,,,,,
別無選擇,1,,,,,,,,,,,,
刪除,3,,,,,,,,,,,,
即亞速爾,1,,,,,,,,,,,,
呈瓷,1,,,,,,,,,,,,
告之,1,,,,,,,,,,,,
告存,1,,,,,,,,,,,,
吸引,3,,,,,,,,,,,,
吸引力,1,,,,,,,,,,,,
吸走,1,,,,,,,,,,,,
吸食,3,,,,,,,,,,,,
含量,3,,,,,,,,,,,,
困難,3,,,,,,,,,,,,
均勢,1,,,,,,,,,,,,
坐火車,1,,,,,,,,,,,,
夾住,1,,,,,,,,,,,,
妒滌角,1,,,,,,,,,,,,
妞鬲,1,,,,,,,,,,,,
妞偎,1,,,,,,,,,,,,
妖鈰,3,,,,,,,,,,,,
妥貼,1,,,,,,,,,,,,
完工,3,,,,,,,,,,,,
局面,3,,,,,,,,,,,,
尾雩,1,,,,,,,,,,,,
希爾德,1,,,,,,,,,,,,
弄髒,1,,,,,,,,,,,,
形成,1,,,,,,,,,,,,
形像,1,,,,,,,,,,,,
忍受,1,,,,,,,,,,,,
快半,1,,,,,,,,,,,,
快遞,1,,,,,,,,,,,,
批貨,1,,,,,,,,,,,,
投訴,1,,,,,,,,,,,,
改迅,1,,,,,,,,,,,,
改造,1,,,,,,,,,,,,
改進,1,,,,,,,,,,,,
更奶,1,,,,,,,,,,,,
更多,3,,,,,,,,,,,,
更別,1,,,,,,,,,,,,
更異,1,,,,,,,,,,,,
更遠,1,,,,,,,,,,,,
更窮,1,,,,,,,,,,,,
更糟,1,,,,,,,,,,,,
更謄,1,,,,,,,,,,,,
李韌朽,1,,,,,,,,,,,,
村莊,1,,,,,,,,,,,,
每丰,1,,,,,,,,,,,,
每天,3,,,,,,,,,,,,
每早,1,,,,,,,,,,,,
每次,3,,,,,,,,,,,,
每氖鶿,1,,,,,,,,,,,,
每周,1,,,,,,,,,,,,
每當,1,,,,,,,,,,,,
每噸,1,,,,,,,,,,,,
沙子,1,,,,,,,,,,,,
沙哈,1,,,,,,,,,,,,
沙灘,1,,,,,,,,,,,,
沉沒,1,,,,,,,,,,,,
沉船,1,,,,,,,,,,,,
沉睡,1,,,,,,,,,,,,
沉積物,1,,,,,,,,,,,,
決心,1,,,,,,,,,,,,
決策,3,,,,,,,,,,,,
沖繩,1,,,,,,,,,,,,
沒人,3,,,,,,,,,,,,
沒隆,1,,,,,,,,,,,,
汽油車,1,,,,,,,,,,,,
沃倫,1,,,,,,,,,,,,
災難,1,,,,,,,,,,,,
男性,1,,,,,,,,,,,,
私人,4,,,,,,,,,,,,
私利,1,,,,,,,,,,,,
究竟,3,,,,,,,,,,,,
系列,1,,,,,,,,,,,,
罕見,1,,,,,,,,,,,,
肖特,1,,,,,,,,,,,,
見到,3,,,,,,,,,,,,
見過,3,,,,,,,,,,,,
見識,3,,,,,,,,,,,,
角托尼,1,,,,,,,,,,,,
角色,3,,,,,,,,,,,,
角落,1,,,,,,,,,,,,
言賑,1,,,,,,,,,,,,
言辭,1,,,,,,,,,,,,
言權,1,,,,,,,,,,,,
谷歌,3,,,,,,,,,,,,
貝索斯,1,,,,,,,,,,,,
走向,3,,,,,,,,,,,,
走得,1,,,,,,,,,,,,
足球,1,,,,,,,,,,,,
身上,3,,,,,,,,,,,,
身份,1,,,,,,,,,,,,
身家,1,,,,,,,,,,,,
身價,3,,,,,,,,,,,,
車上,1,,,,,,,,,,,,
車內,3,,,,,,,,,,,,
車次,1,,,,,,,,,,,,
車站,1,,,,,,,,,,,,
迄今,3,,,,,,,,,,,,
邪惡,1,,,,,,,,,,,,
那次,1,,,,,,,,,,,,
那時,1,,,,,,,,,,,,
那群人,1,,,,,,,,,,,,
那裏,1,,,,,,,,,,,,
防備,1,,,,,,,,,,,,
防意本,1,,,,,,,,,,,,
防範,1,,,,,,,,,,,,
防範措施,1,,,,,,,,,,,,
